Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
05/20/2020,04/04/2020,04/04/2020,By week,Arkansas,Week-ending,,603,0.99,50,,0,57,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/11/2020,04/11/2020,By week,Arkansas,Week-ending,12,623,0.98,56,,,65,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/18/2020,04/18/2020,By week,Arkansas,Week-ending,10,623,1.06,49,,0,54,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/25/2020,04/25/2020,By week,Arkansas,Week-ending,13,579,0.98,40,,0,50,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/02/2020,05/02/2020,By week,Arkansas,Week-ending,13,565,0.94,40,,0,50,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/09/2020,05/09/2020,By week,Arkansas,Week-ending,,524,0.88,26,,,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/16/2020,05/16/2020,By week,Arkansas,Week-ending,,268,0.45,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/01/2020,02/01/2020,By week,California,Week-ending,0,5673,0.98,423,0,59,482,
05/20/2020,02/08/2020,02/08/2020,By week,California,Week-ending,,5890,1.05,443,0,68,512,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/15/2020,02/15/2020,By week,California,Week-ending,0,5571,0.99,424,0,76,500,
05/20/2020,02/22/2020,02/22/2020,By week,California,Week-ending,,5783,1.03,456,0,71,528,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/29/2020,02/29/2020,By week,California,Week-ending,0,5654,0.99,427,0,70,497,
05/20/2020,03/07/2020,03/07/2020,By week,California,Week-ending,,5699,1,473,0,55,530,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/14/2020,03/14/2020,By week,California,Week-ending,,5430,0.98,419,,54,477,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/21/2020,03/21/2020,By week,California,Week-ending,41,5635,1.05,470,18,43,536,
05/20/2020,03/28/2020,03/28/2020,By week,California,Week-ending,122,5635,1.05,566,67,27,648,
05/20/2020,04/04/2020,04/04/2020,By week,California,Week-ending,281,5896,1.11,612,153,24,764,
05/20/2020,04/11/2020,04/11/2020,By week,California,Week-ending,360,5902,1.15,622,209,,777,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/18/2020,04/18/2020,By week,California,Week-ending,483,5917,1.16,694,299,,885,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/25/2020,04/25/2020,By week,California,Week-ending,387,5420,1.05,574,228,,734,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/02/2020,05/02/2020,By week,California,Week-ending,349,4875,0.96,469,183,0,635,
05/20/2020,05/09/2020,05/09/2020,By week,California,Week-ending,224,4040,0.82,377,142,,459,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/16/2020,05/16/2020,By week,California,Week-ending,43,1642,0.33,109,23,0,129,
05/20/2020,02/01/2020,02/01/2020,By week,Colorado,Week-ending,0,789,0.98,45,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/08/2020,02/08/2020,By week,Colorado,Week-ending,0,843,1.04,51,0,11,62,
05/20/2020,02/15/2020,02/15/2020,By week,Colorado,Week-ending,0,804,0.98,50,0,,57,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/22/2020,02/22/2020,By week,Colorado,Week-ending,0,879,1.09,45,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/29/2020,02/29/2020,By week,Colorado,Week-ending,0,842,1.08,57,0,16,73,
05/20/2020,03/07/2020,03/07/2020,By week,Colorado,Week-ending,0,819,1.01,51,0,10,61,
05/20/2020,03/14/2020,03/14/2020,By week,Colorado,Week-ending,,814,1.01,37,0,10,49,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/21/2020,03/21/2020,By week,Colorado,Week-ending,16,887,1.11,70,,11,88,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/28/2020,03/28/2020,By week,Colorado,Week-ending,43,850,1.11,86,25,,111,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/04/2020,04/04/2020,By week,Colorado,Week-ending,124,957,1.25,153,82,,200,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/11/2020,04/11/2020,By week,Colorado,Week-ending,197,1084,1.37,182,116,,265,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/18/2020,04/18/2020,By week,Colorado,Week-ending,188,1082,1.4,154,105,0,237,
05/20/2020,04/25/2020,04/25/2020,By week,Colorado,Week-ending,193,1022,1.38,145,97,,241,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/02/2020,05/02/2020,By week,Colorado,Week-ending,148,913,1.24,108,69,0,187,
05/20/2020,05/09/2020,05/09/2020,By week,Colorado,Week-ending,78,689,0.92,68,40,0,106,
05/20/2020,05/16/2020,05/16/2020,By week,Colorado,Week-ending,12,275,0.38,17,,0,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/01/2020,02/01/2020,By week,Connecticut,Week-ending,0,670,1.02,40,0,12,52,
05/20/2020,02/08/2020,02/08/2020,By week,Connecticut,Week-ending,0,610,0.88,36,0,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/15/2020,02/15/2020,By week,Connecticut,Week-ending,0,590,0.89,33,0,13,46,
05/20/2020,02/22/2020,02/22/2020,By week,Connecticut,Week-ending,0,610,0.92,32,0,11,43,
05/20/2020,02/29/2020,02/29/2020,By week,Connecticut,Week-ending,0,587,0.93,54,0,,62,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/07/2020,03/07/2020,By week,Connecticut,Week-ending,0,,0.01,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/14/2020,03/14/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/20/2020,03/21/2020,03/21/2020,By week,Connecticut,Week-ending,,,0.01,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/28/2020,03/28/2020,By week,Connecticut,Week-ending,41,46,0.07,13,13,0,41,
05/20/2020,04/04/2020,04/04/2020,By week,Connecticut,Week-ending,127,136,0.21,28,25,0,130,
05/20/2020,04/11/2020,04/11/2020,By week,Connecticut,Week-ending,273,291,0.45,74,65,,282,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/18/2020,04/18/2020,By week,Connecticut,Week-ending,207,212,0.36,37,37,0,207,
05/20/2020,04/25/2020,04/25/2020,By week,Connecticut,Week-ending,17,17,0.03,,,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/02/2020,05/02/2020,By week,Connecticut,Week-ending,,,0,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/09/2020,05/09/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/20/2020,05/16/2020,05/16/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/20/2020,02/01/2020,02/01/2020,By week,Delaware,Week-ending,0,178,0.97,14,0,0,14,
05/20/2020,02/08/2020,02/08/2020,By week,Delaware,Week-ending,0,186,1,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/15/2020,02/15/2020,By week,Delaware,Week-ending,0,201,1.02,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/22/2020,02/22/2020,By week,Delaware,Week-ending,0,187,0.97,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/29/2020,02/29/2020,By week,Delaware,Week-ending,0,162,0.9,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/07/2020,03/07/2020,By week,Delaware,Week-ending,0,191,1.04,12,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/14/2020,03/14/2020,By week,Delaware,Week-ending,0,182,0.98,,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/21/2020,03/21/2020,By week,Delaware,Week-ending,0,213,1.13,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/28/2020,03/28/2020,By week,Delaware,Week-ending,,177,0.88,13,,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/04/2020,04/04/2020,By week,Delaware,Week-ending,,195,1.14,17,,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/11/2020,04/11/2020,By week,Delaware,Week-ending,20,179,1,16,,0,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/18/2020,04/18/2020,By week,Delaware,Week-ending,30,167,0.87,16,11,0,35,
05/20/2020,04/25/2020,04/25/2020,By week,Delaware,Week-ending,53,207,1.24,32,24,0,61,
05/20/2020,05/02/2020,05/02/2020,By week,Delaware,Week-ending,49,159,1.01,22,15,0,56,
05/20/2020,05/09/2020,05/09/2020,By week,Delaware,Week-ending,18,99,0.6,,,0,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/16/2020,05/16/2020,By week,Delaware,Week-ending,,14,0.08,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/01/2020,02/01/2020,By week,District of Columbia,Week-ending,0,142,1.09,11,0,0,11,
05/20/2020,02/08/2020,02/08/2020,By week,District of Columbia,Week-ending,0,130,1.01,10,0,0,10,
05/20/2020,02/15/2020,02/15/2020,By week,District of Columbia,Week-ending,0,121,0.93,12,0,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/22/2020,02/22/2020,By week,District of Columbia,Week-ending,0,102,0.92,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/29/2020,02/29/2020,By week,District of Columbia,Week-ending,0,133,1.09,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/07/2020,03/07/2020,By week,District of Columbia,Week-ending,0,118,0.95,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/14/2020,03/14/2020,By week,District of Columbia,Week-ending,0,110,0.93,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/21/2020,03/21/2020,By week,District of Columbia,Week-ending,,125,1.06,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/28/2020,03/28/2020,By week,District of Columbia,Week-ending,,123,0.99,18,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/04/2020,04/04/2020,By week,District of Columbia,Week-ending,24,149,1.28,35,24,0,35,
05/20/2020,04/11/2020,04/11/2020,By week,District of Columbia,Week-ending,31,169,1.48,42,31,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/18/2020,04/18/2020,By week,District of Columbia,Week-ending,44,168,1.42,53,44,0,53,
05/20/2020,04/25/2020,04/25/2020,By week,District of Columbia,Week-ending,53,173,1.36,62,53,0,62,
05/20/2020,05/02/2020,05/02/2020,By week,District of Columbia,Week-ending,33,125,1.04,37,33,0,37,
05/20/2020,05/09/2020,05/09/2020,By week,District of Columbia,Week-ending,10,51,0.46,11,10,0,11,
05/20/2020,05/16/2020,05/16/2020,By week,District of Columbia,Week-ending,0,,0.06,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/01/2020,02/01/2020,By week,Florida,Week-ending,0,4420,0.99,244,0,35,279,
05/20/2020,02/08/2020,02/08/2020,By week,Florida,Week-ending,0,4383,1,286,0,34,320,
05/20/2020,02/15/2020,02/15/2020,By week,Florida,Week-ending,0,4357,1,273,0,26,299,
05/20/2020,02/22/2020,02/22/2020,By week,Florida,Week-ending,0,4413,1.04,272,0,33,305,
05/20/2020,02/29/2020,02/29/2020,By week,Florida,Week-ending,0,4397,1.04,267,0,33,300,
05/20/2020,03/07/2020,03/07/2020,By week,Florida,Week-ending,,4520,1.07,262,,29,292,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/14/2020,03/14/2020,By week,Florida,Week-ending,,4434,1.06,305,,24,330,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/21/2020,03/21/2020,By week,Florida,Week-ending,17,4358,1.03,357,,23,388,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/28/2020,03/28/2020,By week,Florida,Week-ending,92,4455,1.06,362,45,19,427,
05/20/2020,04/04/2020,04/04/2020,By week,Florida,Week-ending,218,4488,1.08,479,142,16,569,
05/20/2020,04/11/2020,04/11/2020,By week,Florida,Week-ending,299,4528,1.1,427,155,10,581,
05/20/2020,04/18/2020,04/18/2020,By week,Florida,Week-ending,303,4389,1.09,433,153,,587,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,04/25/2020,04/25/2020,By week,Florida,Week-ending,306,4482,1.13,422,156,,576,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/02/2020,05/02/2020,By week,Florida,Week-ending,248,4115,1.04,359,133,,476,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/09/2020,05/09/2020,By week,Florida,Week-ending,114,3371,0.86,229,49,,296,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,05/16/2020,05/16/2020,By week,Florida,Week-ending,,1351,0.35,72,,0,72,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/01/2020,02/01/2020,By week,Georgia,Week-ending,0,1773,1,87,0,,94,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,02/08/2020,02/08/2020,By week,Georgia,Week-ending,0,1733,0.98,93,0,10,103,
05/20/2020,02/15/2020,02/15/2020,By week,Georgia,Week-ending,0,1723,1.01,88,0,16,104,
05/20/2020,02/22/2020,02/22/2020,By week,Georgia,Week-ending,0,1694,1.04,80,0,21,101,
05/20/2020,02/29/2020,02/29/2020,By week,Georgia,Week-ending,0,1797,1.1,87,0,,96,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/07/2020,03/07/2020,By week,Georgia,Week-ending,,1709,1.02,82,,,92,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/14/2020,03/14/2020,By week,Georgia,Week-ending,,1712,1.01,99,,,104,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/21/2020,03/21/2020,By week,Georgia,Week-ending,31,1687,1.01,128,16,,150,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/20/2020,03/28/2020,03/28/2020,By week,Georgia,Week-ending,86,1754,1.03,146,36,,202,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
